Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Max,Fwd IAT Total,Bwd IAT Total,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Protocol,Label
2864.2594326351277,5,27,4571.852820655104,15268.992662642493,1500,40,500,1500,40,500.0,6927042.0330060525,11172.17233725225,1432.1297163175639,2864.2594326351277,2864.2594326351277,2864.2594326351277,100,540,6703.30340235135,4468.8689349009,40,1500,450,0,0,0,0,0,6,BENIGN
1.2269693944198787,1,1,40.0,40.0,1500,40,500,1500,40,500.0,65201300.34524998,1630032.5086312497,0.6134846972099394,1.2269693944198787,1.2269693944198787,1.2269693944198787,20,20,978019.5051787498,652013.0034524999,40,1500,450,1,1,1,0,0,6,PortScan
67.45581169768411,499,1,259986.4513196708,44.45282530501596,1500,40,500,1500,40,500.0,3854833224.90215,7412259.780385476,33.727905848842056,67.45581169768411,67.45581169768411,67.45581169768411,9980,20,4447355.868231285,2964903.9121541902,40,1500,450,1,0,1,0,0,6,DDoS
2528.048932792401,4,19,809.1972292085104,7176.923316924829,1500,40,500,1500,40,500.0,3159005.5249888413,9097.925163416416,1264.0244663962005,2528.048932792401,2528.048932792401,2528.048932792401,80,380,5458.755098049849,3639.1700653665666,40,1500,450,0,0,1,1,0,6,BENIGN
2177.463875724676,10,2,6340.211939593648,1357.5012001642963,1500,40,500,1500,40,500.0,3535173.7521689488,5510.998429770189,1088.731937862338,2177.463875724676,2177.463875724676,2177.463875724676,200,40,3306.5990578621136,2204.399371908076,40,1500,450,0,0,0,1,0,6,BENIGN
654.5804817631208,21,4,13000.354058791698,2170.626101066029,1500,40,500,1500,40,500.0,23176646.084824435,38192.40062377384,327.2902408815604,654.5804817631208,654.5804817631208,654.5804817631208,420,80,22915.440374264304,15276.960249509539,40,1500,450,0,0,0,1,0,6,BENIGN
3906.7875883665915,7,2,4328.597262327217,1062.346078436507,1500,40,500,1500,40,500.0,1379891.5909369034,2303.6829611109865,1953.3937941832958,3906.7875883665915,3906.7875883665915,3906.7875883665915,140,40,1382.2097766665918,921.4731844443946,40,1500,450,0,0,1,0,0,6,BENIGN
2.3739267780820734,2,1,80.0,40.0,1500,40,500,1500,40,500.0,50549158.09027167,1263728.9522567918,1.1869633890410367,2.3739267780820734,2.3739267780820734,2.3739267780820734,40,20,758237.371354075,505491.5809027167,40,1500,450,1,1,0,0,0,6,PortScan
1625.8596787631327,24,9,15987.502536171436,2529.332095667049,1500,40,500,1500,40,500.0,11388950.026686871,20296.954547211997,812.9298393815664,1625.8596787631327,1625.8596787631327,1625.8596787631327,480,180,12178.172728327198,8118.7818188848,40,1500,450,0,0,1,0,0,6,BENIGN
63.50615727877685,520,2,459524.85379300005,34.92943717926591,1500,40,500,1500,40,500.0,7236460257.118404,8219675.419952506,31.753078639388423,63.50615727877685,63.50615727877685,63.50615727877685,10400,40,4931805.251971504,3287870.1679810025,40,1500,450,1,0,0,0,0,6,DDoS
